id,target_id,target_short_name,target_nation,applicant,abstract,invention_name
1278614,44052,Pro!vision GmbH,Germany,에이티아이 프로퍼티즈 엘엘씨,"오스테나이트 합금은 일반적으로 전체 합금 중량을 기준으로한 중량 백분률로, 0.2 이하의 탄소; 20 이하의 망간; 0.1 내지 1.0의 규소; 14.0 내지 28.0의 크롬; 15.0 내지 38.0의 니켈; 2.0 내지 9.0의 몰리브덴; 0.1 내지 3.0의 구리; 0.08 내지 0.9의 질소; 0.1 내지 5.0의 텅스텐; 0.5 내지 5.0의 코발트; 1.0 이하의 티탄; 0.05 이하의 붕소; 0.05 이하의 인; 0.05 이하의 황; 철; 및 부수적인 불순물을 포함할 수 있다.","고강도, 내식성 오스테나이트 합금"
55691,1461,Advanced Tech Co Ltd,Japan,니혼도꾸슈도교 가부시키가이샤|고쿠리츠켄큐카이하츠호진 상교기쥬츠 소고켄큐쇼,"특정 단백질을 고정시키는 특이성이 높은 다공질 지르코니아 입자를 제공한다. 단백질의 고정에 사용되는 다공질 지르코니아 입자이다. BET 법에 의해 측정된 공경 분포에 있어서, 누적 세공 용적이 전체 세공 용적의 50 % 가 되는 세공경 D50 이 3.20 ㎚ 이상 6.50 ㎚ 이하이고, 누적 세공 용적이 전체 세공 용적의 90 % 가 되는 세공경 D90 이 10.50 ㎚ 이상 100.00 ㎚ 이하이다. 전체 세공 용적은, 0.10 ㎤/g 보다 크다.",다공질 지르코니아 입자 및 단백질 고정용 응집체
2766437,26718,iA Inc,South Korea,"어플라이드 머티어리얼스, 인코포레이티드","전자 프로세싱 시스템의 정렬기 스테이션을 교정하기 위한 방법이 제공된다. 이송 챔버의 제1 로봇 암에 의해, 이송 챔버에 연결된 프로세싱 챔버로부터 교정 오브젝트가 리트리브된다. 교정 오브젝트는 프로세싱 챔버에서 타겟 배향을 갖는다. 교정 오브젝트는, 제1 로봇 암에 의해, 이송 챔버에 연결된 로드 락에 배치된다. 교정 오브젝트는, 로드 락에 연결된 팩토리 인터페이스의 제2 로봇 암에 의해, 로드 락으로부터 리트리브된다. 교정 오브젝트는, 제2 로봇 암에 의해, 팩토리 인터페이스에 하우징된 또는 팩토리 인터페이스에 연결된 정렬기 스테이션에 배치된다. 교정 오브젝트는 정렬기 스테이션에서 제1 배향을 갖는다. 정렬기 스테이션에서의 초기 타겟 배향과 정렬기 스테이션에서의 제1 배향 사이의 차이가 결정된다. 정렬기 스테이션에서의 초기 타겟 배향은 프로세싱 챔버에서의 타겟 배향과 연관된다. 초기 타겟 배향과 제1 배향 사이의 차이에 기반하여, 프로세싱 챔버와 연관된 제1 특성 에러 값이 결정된다. 제1 특성 에러 값은 저장 매체에 기록된다. 정렬기 스테이션은 프로세싱 챔버에 배치될 오브젝트들의 정렬을 위해 제1 특성 에러 값을 사용한다.",프로세싱 시스템의 정렬기 스테이션의 교정
4758772,24286,H+E Pharma GmbH,Germany,고려대학교 산학협력단,"RSA 암호시스템의 지수승 연산에 이용되는 사전 연산 테이블 생성 방법을 제공한다. 본 발명의 일 실시예에 따른 RSA 암호시스템의 지수승 연산에 이용되는 사전 연산 테이블 생성 방법은 RSA 암호문을 개인키 지수, 공개키, 랜덤 지수 및 랜덤한 블라인딩값을 기반으로 소정 비트 단위로 지수승 연산하여 복호화할 때 이용되는 사전 연산 테이블을 생성하는 방법에 있어서, 상기 블라인딩값 및 상기 공개키 중 적어도 하나에 기초하여 복수의 고정값과 하나의 변동값을 결정하는 단계; 상기 복수의 고정값, 상기 변동값 및 상기 사전 연산 테이블에 저장된 사전연산값 중 적어도 하나에 기초하는 복수의 상기 사전연산값 각각을 상기 사전 연산 테이블의 대응되는 인덱스에 저장하는 단계; 및 상기 변동값과 상기 암호문을 곱한 값을 새로운 상기 변동값으로 하여, 소정의 완료 조건을 만족할 때까지, 상기 대응되는 인덱스에 저장하는 단계를 반복하여 수행하는 단계를 포함한다.",RSA 암호시스템의 지수승 연산에 이용되는 사전 연산 테이블 생성 방법 및 그 장치
4092447,468,A+ Communications & Security,United States,삼성디스플레이 주식회사,"본 발명은 투과 영역을 기준으로 좌/우에 위치한 표시 영역에 배치된 복수의 화소들과 그 외의 표시 영역에 배치된 복수의 화소들 간에 발생한 휘도 차이를 개선한 디스플레이 장치를 위하여, 투과 영역, 상기 투과 영역을 둘러싸는 표시 영역, 상기 투과 영역과 상기 표시 영역 사이의 제1 비표시 영역, 및 상기 표시 영역을 둘러싸는 제2 비표시 영역을 포함하는 기판; 상기 표시 영역 상에 배열되는 복수의 화소들; 상기 제1 비표시 영역에 배치되고, 상기 투과 영역의 에지의 적어도 일부를 따라 연장하는 2n개의 연결배선들(n은 자연수); 및 각각 제1 방향으로 연장되어 상기 복수의 화소들 중 동일 행에 위치하는 화소들의 적어도 일부에 연결되는 복수의 전압배선들을 포함하고, 상기 복수의 전압배선들 각각은 상기 2n개의 연결배선들 중 하나에 각각 연결되는 디스플레이 장치를 제공한다.",디스플레이 장치
3131880,37565,N3,Japan,"케어퓨전 303, 인크.","공급 캐비닛은 외부 센서와 내부 센서로 설치된다. 상기 외부 및 내부 센서는 고주파 태그들로 태깅되고 상기 센서들 근처의 재고 품목들을 무선으로 감지하고, 공급 캐비닛에 저장된 재고 품목들을 추적하는 방법은 상기 외부 및 내부 센서에 의해 감지하는 타임 시퀀싱에 근거해 재고 품목이 상기 캐비닛으로부터 제거되었거나 상기 캐비닛으로 저장되었는지를 결정하는 단계, 및 이에 따라 재고 데이터베이스를 업데이트하는 단계를 포함한다. 알람은 재고 품목이 인증되지 않은 사용자에 의해 제거될 경우 부가적으로 작동된다.",자동화된 의료 공급 제거/저장 추적 방법 및 장치
108561,3025,AMI,Austria,한국세라믹기술원,"본 발명의 실시예에 따르면, 광원, 편광기, 분석기로 이루어지는 코노스코피 시스템에서, 상기 분석기로부터 출력되는 신호를 분석하는 제어부가 상기 편광기와 분석기 사이에 놓인 시료의 복굴절률을 산출하는 방법으로서, 상기 편광기와 분석기의 각도가 제1 각도이고, 상기 시료에 있어서 상기 편광기와 가장 근접한 면의 결정 방향과 상기 편광기 간의 각도가 제2 각도인 경우의 상기 분석기에서의 제1 광 세기와, 시료의 복굴절로 인해 편광의 경로차가 발생하는 경우 상기 분석기에서의 제2 광 세기를 동일해지기 위한, 시료 통과 과정에서 생성되는 광경로차를 산출하는 단계; 및 산출되는 상기 광경로차와 상기 시료의 굴절률 타원체 모형에 기반하여, 상기 시료의 복굴절률을 산출하는 단계를 포함하는, 복굴절률 산출 방법이 제공된다.",코노스코피 기반 복굴절률을 측정하는 방법
3210173,39208,NM Tech Co Ltd,South Korea,얀마 파워 테크놀로지 가부시키가이샤,"스토이키오메트릭 운전과 린 운전의 스위칭을 원활하게 행할 수 있는 가스 엔진, 그것을 이용한 가스 히트 펌프 장치 및 코제너레이션 장치, 그리고 가스 엔진의 제어 방법을 제공한다. 고부하 시에는 스토이키오메트릭 운전하고 중저부하 시에는 린 운전하는 가스 엔진(1)이며, 가스 엔진(1)에 공기와 연료 가스의 혼합기체를 공급하는 밸브(2)는 스토이키오메트릭 운전을 실현하는 일정한 개구 면적이 확보되고, 스토이키오메트릭 운전으로부터 린 운전으로의 스위칭 운전 종료까지의 동안에 경시적으로 일정하게 개구 면적이 감소되고, 린 운전을 실현하는 일정한 개구 면적이 확보되고, 린 운전으로부터 스토이키오메트릭 운전으로의 스위칭 운전 종료까지의 동안에 경시적으로 개구 면적이 일정하게 증가하도록 스토이키오메트릭용 밸브부(21)와 린용 밸브부(22)를 직렬로 스토이키오메트릭용 밸브부(21)를 믹서(24)측에 연결하여 밸브의 개구 면적의 제어를 행하는 것이다.","가스 엔진, 가스 엔진을 이용한 가스 히트 펌프 장치 및 코제너레이션 장치, 그리고 가스 엔진의 제어 방법"
238674,9251,C&R Research Co Ltd,South Korea,주식회사 익성|인하대학교 산학협력단,"본 발명은 광촉매용 구형 이산화 티타늄/카본 나이트라이드 복합체의 제조 방법에 관한 것으로서, (1) 에탄올, 세틸트리메틸암모늄브로마이드(cethyltrimethylammonium bromide, CTAB), 염화칼륨 용액을 포함하는 혼합 용액에 티타늄 전구체를 첨가하여 구형 이산화 티타늄 제조하는 단계; (2) 멜라민을 열처리하여 카본 나이트라이드를 제조하는 단계; (3) 상기 구형 이산화 티타늄 및 카본 나이트라이드를 혼합하여 수열 합성하는 단계; (4) 상기 (3)단계에서 합성된 시료를 고온에서 소성하는 단계;를 포함한다.  상기와 같은 본 발명에 따르면, 광촉매용 구형 이산화 티타늄/카본 나이트라이드 복합체를 제조함으로써, 우수한 중형기공 구조 형성 및 밴드갭의 감소로 가시광 영역을 효율적으로 사용할 수 있게 됨에 따라 보다 향상된 광촉매적 효율을 갖는 광촉매용 구형 이산화 티타늄/카본 나이트라이드 복합체를 제조할 수 있다.",광촉매용 구형 이산화 티타늄/카본 나이트라이드 복합체의 제조방법
171186,5019,Audio-Video G+M SA,Switzerland,꼼미사리아 아 레네르지 아토미끄 에뜨 옥스 에너지스 앨터네이티브즈|탈레스|쌩뜨레 나티오날 데 라 르세르쉬 생띠끄|유니베르시떼 그르노블 알프스,"본 발명은 적어도 자성층(10)의 자화 방향을 변경하기 위한 장치(12)에 관한 것으로, 이 변경 장치(12)는,  - 강유전성 분극을 가지며, 적어도 자성층(10)과 강유전성 층(14)을 포함하는 적층체(19)를 형성하도록 자성층(10) 상에 또는 아래에 배치되는 강유전성 층(14),  - 적층체(19)의 층의 평면에 평행한 방향을 따라 그 적층체 안으로 전류를 주입하기 쉬운 발생기(16); 및  - 발생기(16)로 자성층(10)의 자화 방향을 변경하기 위해 강유전성 층(14)의 강유전성 분극을 변경하도록 되어 있는 변경 유닛(18)을 포함한다","자성층의 자화 방향을 변경하기 위한 장치, 관련 방법 및 스핀트로닉 시스템"
1492162,51344,SIT,Japan,제주대학교 산학협력단,"본 발명은 채집된 번행초를 세척하고 건조하는 단계; 번행초 건조물을 열수추출하여 액상 추출물을 얻는 단계; 상기 액상 추출물을 건조시켜 번행초 분말염료를 얻는 단계; 상기 번행초 분말염료에 물을 혼합하여 염액을 준비하고, 상기 염액으로 직물을 염색하는 단계를 포함하는 번행초 천연염색 방법을 제공한다. 본 발명의 번행초 천연염색으로 미려한 자연색의 직물 염색이 가능하고 항균성을 지닌 기능성 섬유소재를 제공할 수 있으며, 번행초에 식방풍을 혼합한 염료를 사용함으로써 적은 염료로도 높은 항균성을 얻을 수 있다.",번행초 천연염색 방법
3296973,40839,Opera Ltd,Norway,국립목포대학교산학협력단|동은정공 주식회사,"본 발명은 선체 격벽 관통관 설계 방법에 관한 것으로, 다양한 근사모델을 적용하여 설계공간의 근사화 특성을 평가함으로써 A60급 관통관의 최소중량설계를 수행하는 선체 격벽 관통관 설계 방법에 관한 것이다.  이를 위하여, 본 발명은 선체 격벽에 설치되는 관통관의 설계 시스템에 있어서, 화재시험 절차(Fire Test Procedure, FTP) 규정 코드, 실험계획법, 다중섬 유전자 알고리즘이 저장된 저장부와, 방화 성능을 평가하기 위하여, 상기 저장부에 저장된 화재시험 절차 규정 코드에 나와 있는 시편 사양과, 온도조건을 반영하여 상기 관통관을 유한요소법을 기반으로 과도 열전달 해석을 수행하는 열전달 해석부와, 상기 과도 열전달 해석의 결과와 상기 저장부에 저장된 실험계획법을 연동하는 연동부와, 상기 실험계획법 결과를 기반으로 근사모델을 생성 및 상기 근사모델의 정확도를 산출하는 근사모델 검토부와, 상기 저장부에 저장된 상기 다중섬 유전자 알고리즘을 이용하여, 상기 근사모델 검토단계에서 생성된 근사모델을 기반으로 근사최적화를 수행하는 근사최적화부를 포함하는 것을 특징으로 하는 선체 격벽 관통관 설계 시스템을 제공한다.",선체 격벽 관통관 설계 시스템 및 선체 격벽 관통관 설계 방법
1542603,53701,Struct A/S,Denmark,주식회사 엔알씨구조연구소,"본 발명은 시공성 및 조립성이 향상된 철근커플러에 관한 것으로서, 더욱 상세하게는, 테이퍼진 형상을 가진 커플러바디의 외주면에 배치된 고정너트를 단부측으로 회전결합하여 커플러바디의 내측에 삽입된 철근을 고정하고, 철근이 고정된 복수의 커플러바디를 연결부재를 통해 연결함으로써, 철근이 견고하게 고정되는 동시에 시공성이 우수하고 작업 시간이 단축된, 시공성 및 조립성이 향상된 철근커플러에 관한 것이다.",시공성 및 조립성이 향상된 철근커플러
110847,3028,AMI Inc,Japan,코니카 미놀타 어드밴스드 레이어즈 인코포레이티드,"본 발명은 적어도 보호 기판 두께 t1의 제1 광 정보 기록 매체에 대하여, 제1 광원으로부터 출사되는 제1 파장 λ1의 제1 광속을 이용해서 정보의 재생 및/또는 기록을 행하고, 보호 기판 두께 t3(t1 &lt; t3)의 제3 광 정보 기록 매체에 대하여, 제3 광원으로부터 출사되는 제3 파장 λ3(λ1 &lt; λ3)의 제3 광속을 이용해서 정보의 재생 및/또는 기록을 행하는 광 픽업 장치에 이용되고, 적어도 제1 광학 소자를 갖는 대물 광학계이며, 상기 제1 광학 소자는 광축 방향으로 적층된 재료 A로 이루어지는 제1 부재와 재료 B로 이루어지는 제2 부재를 구비하고, 상기 재료 A와 상기 재료 B는, d선에 있어서의 아베수가 서로 달라 상기 제1 부재와 제2 부재의 경계면에는 제1 위상 구조가 형성되어 있는 대물 광학계, 그 대물 광학계를 탑재한 광 픽업 장치, 및 광 디스크 드라이브 장치를 제공한다.  광 정보 기록 매체, 광 픽업 장치, 광학 소자, 대물 광학계, 광 디스크 드라이브 장치","대물 광학계, 광 픽업 장치, 및 광 디스크 드라이브 장치"
3269771,40417,On Co Ltd,South Korea,미투엔지니어링 주식회사|가천대학교 산학협력단|삼성물산 주식회사|에이치디씨 주식회사,"본 발명은 기존 공동주택의 층간 높이를 무리하게 높이지 않고도 간단한 시공 및 저렴한 비용으로 외부의 신선한 공기를 실내로 끌어들이고, 실내의 오염된 공기를 외부로 배출하여 공동주택의 실내공기를 환기시킬 수 있도록 한 공동주택용 환기 시스템에 관한 것으로, 본 발명의 구성은 급기팬 및 배기팬을 구비하여 실외공기와 실내공기의 급배기를 수행하기 위한 환기장치와, 상기 환기장치와 연통되며, 천장판의 상부공간에 설치되어 실외공기를 실내공간까지 이송시키기 위한 급기덕트와, 상기 환기장치로부터 공급된 실외공기를 실내공간에 공급할 수 있도록 상기 급기덕트와 연통되며, 천장판을 관통하여 천장판 하부에 고정 설치되는 복수의 급기디퓨저와, 공동주택의 실내공간으로부터 천장판 상부공간에 실내공기가 유입될 수 있도록 천장판을 관통하여 천장판 하부에 고정 설치되는 복수의 배기디퓨저와, 상기 천장판 상부에 설치되어 천장판 상부에 유입된 실내공기를 배기하는 배기챔버를 포함하여 이루어지는 공동주택용 환기 시스템에 관한 것이다.  급기덕트, 급기디퓨저, 배기디퓨저, 배기챔버",공동주택용 환기 시스템
1926784,44798,Puraffinity Ltd,United Kingdom,Puraffinity Ltd.," Provided are compositions for removal of a target substance from a fluid stream, the composition comprising a polyamine; and a covalently linked hydrophobic group, wherein the polyamine is covalently linked to a support material. Also provided are processes for removal of a target substance from a fluid stream comprising contacting the fluid stream with a composition comprising a polyamine; and a covalently linked hydrophobic group, wherein the polyamine is covalently linked to a support material. 
				","Modified polyamines grafted to a particulate, solid support as sorbent materials for removal of target substances from fluids"
